model_id,mean_per_class_error,DataLabel,Seed
StackedEnsemble_AllModels_0_AutoML_20171223_154018,0.512003,DIBaS,1
GBM_grid_0_AutoML_20171223_154018_model_2,0.514758,DIBaS,1
GBM_grid_0_AutoML_20171223_154018_model_4,0.516332,DIBaS,1
GBM_grid_0_AutoML_20171223_154018_model_3,0.518693,DIBaS,1
DRF_0_AutoML_20171223_154018,0.520071,DIBaS,1
XRT_0_AutoML_20171223_154018,0.522432,DIBaS,1
GBM_grid_0_AutoML_20171223_154018_model_1,0.523613,DIBaS,1
GBM_grid_0_AutoML_20171223_154018_model_0,0.526761,DIBaS,1
GBM_grid_0_AutoML_20171223_154018_model_5,0.54939,DIBaS,1
GLM_grid_0_AutoML_20171223_154018_model_0,0.551358,DIBaS,1
DeepLearning_0_AutoML_20171223_154018,0.662338,DIBaS,1
StackedEnsemble_BestOfFamily_0_AutoML_20171223_154018,0.666667,DIBaS,1
GBM_grid_0_AutoML_20171223_164352_model_4,0.54866,DIBaS,2
XRT_0_AutoML_20171223_164352,0.551024,DIBaS,2
GBM_grid_0_AutoML_20171223_164352_model_2,0.554177,DIBaS,2
GBM_grid_0_AutoML_20171223_164352_model_0,0.554374,DIBaS,2
DRF_0_AutoML_20171223_164352,0.555556,DIBaS,2
GBM_grid_0_AutoML_20171223_164352_model_3,0.556738,DIBaS,2
GBM_grid_0_AutoML_20171223_164352_model_1,0.564027,DIBaS,2
GBM_grid_0_AutoML_20171223_164352_model_5,0.578014,DIBaS,2
GLM_grid_0_AutoML_20171223_164352_model_0,0.588849,DIBaS,2
DeepLearning_0_AutoML_20171223_164352,0.645193,DIBaS,2
StackedEnsemble_BestOfFamily_0_AutoML_20171223_164352,0.666667,DIBaS,2
StackedEnsemble_AllModels_0_AutoML_20171223_164352,0.666667,DIBaS,2
XRT_0_AutoML_20171223_174726,0.529749,DIBaS,3
GBM_grid_0_AutoML_20171223_174726_model_0,0.530673,DIBaS,3
DRF_0_AutoML_20171223_174726,0.531781,DIBaS,3
GBM_grid_0_AutoML_20171223_174726_model_4,0.53252,DIBaS,3
GBM_grid_0_AutoML_20171223_174726_model_3,0.536401,DIBaS,3
GBM_grid_0_AutoML_20171223_174726_model_2,0.536585,DIBaS,3
GBM_grid_0_AutoML_20171223_174726_model_1,0.540096,DIBaS,3
GLM_grid_0_AutoML_20171223_174726_model_0,0.572062,DIBaS,3
StackedEnsemble_BestOfFamily_0_AutoML_20171223_174726,0.666667,DIBaS,3
StackedEnsemble_AllModels_0_AutoML_20171223_174726,0.666667,DIBaS,3
GBM_grid_0_AutoML_20171223_185116_model_2,0.535258,DIBaS,4
DRF_0_AutoML_20171223_185116,0.538794,DIBaS,4
GBM_grid_0_AutoML_20171223_185116_model_0,0.53899,DIBaS,4
GBM_grid_0_AutoML_20171223_185116_model_3,0.54233,DIBaS,4
GBM_grid_0_AutoML_20171223_185116_model_4,0.54429399999999994,DIBaS,4
XRT_0_AutoML_20171223_185116,0.54508,DIBaS,4
GBM_grid_0_AutoML_20171223_185116_model_1,0.54783,DIBaS,4
GLM_grid_0_AutoML_20171223_185116_model_0,0.577883,DIBaS,4
GBM_grid_0_AutoML_20171223_185116_model_5,0.581222,DIBaS,4
DeepLearning_0_AutoML_20171223_185116,0.656256,DIBaS,4
StackedEnsemble_BestOfFamily_0_AutoML_20171223_185116,0.666667,DIBaS,4
StackedEnsemble_AllModels_0_AutoML_20171223_185116,0.666667,DIBaS,4
StackedEnsemble_AllModels_0_AutoML_20171223_195522,0.520016,DIBaS,5
GBM_grid_0_AutoML_20171223_195522_model_0,0.524241,DIBaS,5
XRT_0_AutoML_20171223_195522,0.528867,DIBaS,5
GBM_grid_0_AutoML_20171223_195522_model_4,0.532287,DIBaS,5
GBM_grid_0_AutoML_20171223_195522_model_1,0.5345,DIBaS,5
GBM_grid_0_AutoML_20171223_195522_model_2,0.5345,DIBaS,5
DRF_0_AutoML_20171223_195522,0.535305,DIBaS,5
GBM_grid_0_AutoML_20171223_195522_model_3,0.537115,DIBaS,5
GLM_grid_0_AutoML_20171223_195522_model_0,0.582378,DIBaS,5
StackedEnsemble_BestOfFamily_0_AutoML_20171223_195522,0.666667,DIBaS,5
