model_id,auc,logloss,DataLabel,Seed
StackedEnsemble_BestOfFamily_0_AutoML_20171223_101850,0.72397,0.611401,Reference,1
StackedEnsemble_AllModels_0_AutoML_20171223_101850,0.722801,0.612665,Reference,1
DRF_0_AutoML_20171223_101850,0.712285,0.618487,Reference,1
XRT_0_AutoML_20171223_101850,0.70888,0.623095,Reference,1
GBM_grid_0_AutoML_20171223_101850_model_9,0.705173,0.648925,Reference,1
GBM_grid_0_AutoML_20171223_101850_model_0,0.701882,0.63296,Reference,1
GBM_grid_0_AutoML_20171223_101850_model_8,0.700559,0.658652,Reference,1
GBM_grid_0_AutoML_20171223_101850_model_2,0.700102,0.637531,Reference,1
GBM_grid_0_AutoML_20171223_101850_model_3,0.700073,0.644647,Reference,1
GBM_grid_0_AutoML_20171223_101850_model_10,0.699983,0.669538,Reference,1
GBM_grid_0_AutoML_20171223_101850_model_6,0.6993,0.666654,Reference,1
GBM_grid_0_AutoML_20171223_101850_model_5,0.695121,0.63121,Reference,1
GBM_grid_0_AutoML_20171223_101850_model_1,0.694753,0.638159,Reference,1
GBM_grid_0_AutoML_20171223_101850_model_4,0.693446,0.635233,Reference,1
DeepLearning_grid_0_AutoML_20171223_101850_model_1,0.680104,1.333807,Reference,1
GLM_grid_0_AutoML_20171223_101850_model_0,0.661851,0.658779,Reference,1
GBM_grid_0_AutoML_20171223_101850_model_7,0.658141,0.720575,Reference,1
DeepLearning_grid_0_AutoML_20171223_101850_model_2,0.643393,1.874077,Reference,1
DeepLearning_grid_0_AutoML_20171223_101850_model_0,0.606182,2.228502,Reference,1
DeepLearning_0_AutoML_20171223_101850,0.577049,1.583682,Reference,1
DeepLearning_grid_0_AutoML_20171223_101850_model_3,0.546821,5.787497,Reference,1
StackedEnsemble_AllModels_0_AutoML_20171223_112126,0.711837,0.619853,Reference,2
StackedEnsemble_BestOfFamily_0_AutoML_20171223_112126,0.707813,0.621649,Reference,2
XRT_0_AutoML_20171223_112126,0.70239,0.625497,Reference,2
DRF_0_AutoML_20171223_112126,0.699221,0.628372,Reference,2
GBM_grid_0_AutoML_20171223_112126_model_1,0.697916,0.637517,Reference,2
GBM_grid_0_AutoML_20171223_112126_model_2,0.696826,0.643402,Reference,2
GBM_grid_0_AutoML_20171223_112126_model_9,0.695067,0.669648,Reference,2
GBM_grid_0_AutoML_20171223_112126_model_3,0.693237,0.65152,Reference,2
GBM_grid_0_AutoML_20171223_112126_model_4,0.692437,0.635665,Reference,2
GBM_grid_0_AutoML_20171223_112126_model_7,0.688505,0.657946,Reference,2
GBM_grid_0_AutoML_20171223_112126_model_0,0.68638,0.64529,Reference,2
GBM_grid_0_AutoML_20171223_112126_model_10,0.669344,0.669043,Reference,2
GBM_grid_0_AutoML_20171223_112126_model_6,0.667417,0.968324,Reference,2
GBM_grid_0_AutoML_20171223_112126_model_5,0.666727,0.665681,Reference,2
DeepLearning_grid_0_AutoML_20171223_112126_model_0,0.666274,1.87038,Reference,2
GBM_grid_0_AutoML_20171223_112126_model_11,0.66568,0.66871100000000006,Reference,2
DeepLearning_grid_0_AutoML_20171223_112126_model_2,0.664672,1.842498,Reference,2
DeepLearning_grid_0_AutoML_20171223_112126_model_1,0.657642,2.198681,Reference,2
GLM_grid_0_AutoML_20171223_112126_model_0,0.656835,0.666573,Reference,2
GBM_grid_0_AutoML_20171223_112126_model_8,0.64598,0.812533,Reference,2
